date	close	volume	open	high	low
16:00	26.42	"2,103,344"	27.29	27.29	26.37
12/11/2017	26.42	2103344	27.29	27.29	26.37
12/8/2017	27.11	1995575	27.19	27.55	26.96
12/7/2017	26.9	1200894	26.35	27.19	26.11
12/6/2017	26.22	2424149	26.73	26.94	25.56
12/5/2017	26.73	2007140	27.44	28.1	26.67
12/4/2017	27.57	2453071	28.4	28.88	27.515
12/1/2017	28.12	4156049	27.07	28.43	26.74
11/30/2017	27.08	1904153	26.25	27.1	26.1419
11/29/2017	26.1	2285658	27	27.19	25.95
11/28/2017	27.01	2642426	26.43	27.04	26.06
11/27/2017	26.38	2575444	25.99	26.92	25.9
11/24/2017	25.85	879277	26.23	26.56	25.82
11/22/2017	26.13	1526644	26.4	26.7	25.89
11/21/2017	26.05	1786404	25.78	26.18	25.62
11/20/2017	25.65	1760543	26.34	26.43	25.52
11/17/2017	26.38	2203932	25.76	26.52	25.45
11/16/2017	25.83	2900865	24.92	25.91	24.54
11/15/2017	24.75	2792159	24.95	25.1	24.14
11/14/2017	25.11	2375786	25.95	26.24	24.86
11/13/2017	26.05	1543649	25.67	26.2	25.6
11/10/2017	25.85	2049829	25.5	25.88	25.36
11/9/2017	25.75	2816370	26.28	26.3	25.5
11/8/2017	26.4	2108763	26.75	27.05	25.91
11/7/2017	26.59	3334624	27.29	27.4	26.37
11/6/2017	27.38	3484007	26.15	27.5769	26.06
11/3/2017	26.25	3947041	25.25	26.3	25.14
11/2/2017	25.52	6008775	26.52	26.68	25.24
11/1/2017	24.23	4630135	24.95	25.36	24.19
10/31/2017	24.79	4385075	26.31	26.39	24.75
10/30/2017	26.08	4148244	26.75	27.57	25.835
10/27/2017	26.63	2968916	26.01	26.88	25.91
10/26/2017	25.92	4097055	25.46	26.37	25.43
10/25/2017	25.89	2494806	26.59	26.86	25.75
10/24/2017	26.44	3156797	26.91	27.03	26.15
10/23/2017	26.98	2054013	27.47	27.66	26.901
10/20/2017	27.17	2741202	27.31	27.8314	27.06
10/19/2017	27.46	3788304	27.4	28.075	26.81
10/18/2017	27.53	5057234	28.35	28.46	27.38
10/17/2017	28.3	7999076	29.02	30.2	28.25
10/16/2017	29.02	29938980	29.12	32.5	28.45
10/13/2017	24.76	2074161	24.8	24.89	24.46
10/12/2017	24.73	3069752	25.54	25.72	24.72
10/11/2017	25.65	2434626	26	26.12	25.62
10/10/2017	25.94	1669791	25.64	25.965	25.55
10/9/2017	25.66	1739299	25.91	26.04	25.37
10/6/2017	25.71	2525238	25.53	26.19	25.53
10/5/2017	25.73	2948938	25.27	26.2	25.22
10/4/2017	25.26	4190181	24.41	25.5	24.3
10/3/2017	24.41	2349279	24.21	24.42	23.85
10/2/2017	24.28	2817095	24.33	24.53	24.01
9/29/2017	24.23	2956575	24.18	24.44	23.68
9/28/2017	24.23	2518388	23.67	24.49	23.56
9/27/2017	23.75	2714953	23.71	24.27	23.63
9/26/2017	23.59	3287267	23.31	23.97	23.18
9/25/2017	23.35	7332547	24.98	25.1	23.18
9/22/2017	24.47	10832160	27	27.01	24.07
9/21/2017	28.01	1575800	28.22	28.37	27.955
9/20/2017	28.27	3128940	27.9	28.65	27.83
9/19/2017	27.92	2070956	27.53	27.96	27.5101
9/18/2017	27.58	2543802	27.57	28.1332	27.4
9/15/2017	27.57	8048436	27.49	28.12	27.32
9/14/2017	27.24	4036496	26.96	27.55	26.9
9/13/2017	27.11	3092119	26.91	27.535	26.8
9/12/2017	26.95	3291636	26.21	26.95	26.0411
9/11/2017	26.24	4520459	26.58	26.98	25.71
9/8/2017	25.97	4563385	25.49	26.5	25.48
9/7/2017	25.66	10059470	28.05	28.17	24.67
9/6/2017	28.17	2433700	28.41	28.65	28.15
9/5/2017	28.22	2849194	28.85	29.3	27.91
9/1/2017	28.98	2808956	29.45	29.47	28.67
8/31/2017	29.24	3618122	28.48	29.5	28.4
8/30/2017	28.28	3317274	27.56	28.67	27.56
8/29/2017	27.56	2107117	27.08	27.77	26.9342
8/28/2017	27.32	2608711	27.32	27.93	27.1
8/25/2017	27.16	2123582	27.4	27.81	27.1
8/24/2017	27.32	1889431	26.99	27.44	26.77
8/23/2017	26.79	2219861	26.88	27.57	26.78
8/22/2017	27	2571397	26.44	27.06	26.42
8/21/2017	26.37	1893822	26.44	26.83	26.08
8/18/2017	26.33	2497407	26.81	26.92	26.08
8/17/2017	26.88	3070527	26.71	27.09	26.52
8/16/2017	26.78	3126020	27.85	27.9	26.65
8/15/2017	26.91	2535351	26.92	27.16	26.7
8/14/2017	26.74	2139759	26.73	27	26.36
8/11/2017	26.51	2021024	26.49	27.0994	26.32
8/10/2017	26.45	3201483	27.03	27.28	26.42
8/9/2017	27.19	3418375	26.9	27.72	26.71
8/8/2017	27.2	3102076	26.58	27.35	26.29
8/7/2017	26.69	3191134	26.22	26.85	26.11
