date	close	volume	open	high	low
16:00	4.14	"1,067,194"	4.35	4.56	4.08
12/11/2017	4.14	1065218	4.35	4.56	4.08
12/8/2017	4.17	403457	4.23	4.33	4.14
12/7/2017	4.19	284582	3.96	4.31	3.831
12/6/2017	3.94	194252	4.09	4.09	3.8
12/5/2017	4.04	165268	4.18	4.3	4.03
12/4/2017	4.17	138719	4.46	4.47	4.15
12/1/2017	4.39	176338	4.37	4.47	4.19
11/30/2017	4.4	141757	4.43	4.44	4.34
11/29/2017	4.36	177539	4.31	4.49	4.25
11/28/2017	4.3	170630	4.27	4.4399	4.16
11/27/2017	4.23	147629	4.2	4.29	4.14
11/24/2017	4.2	39696	4.2	4.23	4.09
11/22/2017	4.15	166526	4.29	4.34	4.14
11/21/2017	4.27	229523	4.44	4.49	4.24
11/20/2017	4.39	85071	4.41	4.41	4.28
11/17/2017	4.37	91964	4.31	4.45	4.26
11/16/2017	4.32	238834	4.09	4.49	4.03
11/15/2017	3.99	273137	4.18	4.2916	3.99
11/14/2017	4.19	170397	4.1	4.29	4.1
11/13/2017	4.15	228587	4.42	4.44	4.14
11/10/2017	4.42	414581	4.62	4.6699	4.28
11/9/2017	4.44	256110	4.5	4.588	4.339
11/8/2017	4.59	243077	4.89	4.895	4.56
11/7/2017	4.93	188819	5	5	4.75
11/6/2017	4.96	159418	4.82	4.9701	4.77
11/3/2017	4.82	309943	4.75	5	4.6801
11/2/2017	4.72	404187	4.35	4.79	4.06
11/1/2017	4.69	259713	4.85	4.885	4.51
10/31/2017	4.77	461026	4.58	4.93	4.5
10/30/2017	4.61	336703	4.56	4.74	4.27
10/27/2017	4.54	370551	4.24	4.54	4.2274
10/26/2017	4.25	320509	3.95	4.27	3.85
10/25/2017	3.98	204380	4.12	4.255	3.91
10/24/2017	4.17	188599	4.18	4.24	4.13
10/23/2017	4.21	399926	4.19	4.3	4.07
10/20/2017	4.18	123333	4.16	4.19	4.04
10/19/2017	4.11	95559	4.16	4.16	4.01
10/18/2017	4.17	158768	4.11	4.2	3.99
10/17/2017	4.08	114863	4.05	4.1	3.99
10/16/2017	4.06	227135	4	4.19	3.96
10/13/2017	4.05	504790	4.11	4.15	3.5
10/12/2017	4.07	307204	4.29	4.3	3.9501
10/11/2017	4.11	80242	4.13	4.2	4.1
10/10/2017	4.16	102355	4.18	4.19	4.04
10/9/2017	4.18	137016	4.15	4.29	3.99
10/6/2017	4.12	183949	4.2	4.24	4.02
10/5/2017	4.2	203543	4.2	4.28	4.1
10/4/2017	4.17	194140	4.23	4.35	4.15
10/3/2017	4.22	143062	4.19	4.28	4.13
10/2/2017	4.17	279426	4	4.18	3.95
9/29/2017	3.96	271468	4.09	4.15	3.93
9/28/2017	4.07	268295	4.05	4.13	3.98
9/27/2017	4.09	181176	4.03	4.15	3.9392
9/26/2017	4.01	238249	3.92	4.04	3.75
9/25/2017	3.89	390205	4.12	4.172	3.83
9/22/2017	4.12	161800	3.94	4.17	3.888
9/21/2017	3.94	251898	4.19	4.19	3.92
9/20/2017	4.13	127880	4.25	4.25	4.11
9/19/2017	4.21	177448	4.28	4.3999	4.11
9/18/2017	4.25	315247	4.23	4.43	4.23
9/15/2017	4.16	618769	4.2	4.29	4.05
9/14/2017	4.23	259404	4.34	4.36	4.05
9/13/2017	4.31	183357	4.2	4.39	4.11
9/12/2017	4.2	198053	4.29	4.33	4.15
9/11/2017	4.23	328156	4.12	4.291	3.99
9/8/2017	4.12	291170	4.31	4.3787	4.03
9/7/2017	4.19	376281	4.02	4.36	3.93
9/6/2017	4	213073	4.02	4.03	3.9
9/5/2017	3.98	257674	3.9	4.1	3.81
9/1/2017	3.87	196140	3.83	3.95	3.64
8/31/2017	3.78	491500	4.01	4.1254	3.72
8/30/2017	3.97	842844	3.67	4.07	3.67
8/29/2017	3.67	736060	3.21	3.74	3.21
8/28/2017	3.22	116774	3.11	3.23	3.07
8/25/2017	3.08	44919	3.12	3.1546	3.04
