date	close	volume	open	high	low
16:00	6.18	"2,567,319"	6.26	6.54	6.17
12/11/2017	6.18	2567119	6.26	6.54	6.17
12/8/2017	6.2	2127802	6.09	6.25	5.9625
12/7/2017	6.05	3634054	5.96	6.0999	5.77
12/6/2017	5.91	1780520	5.95	6.04	5.74
12/5/2017	5.96	1759140	6.15	6.295	5.93
12/4/2017	6.14	2596473	6.21	6.55	6.115
12/1/2017	6.09	2576413	6.35	6.35	5.83
11/30/2017	6.35	3190705	5.92	6.37	5.83
11/29/2017	5.86	2050905	5.92	6.02	5.815
11/28/2017	5.92	2709633	5.94	5.99	5.75
11/27/2017	5.9	2043871	5.97	6.045	5.855
11/24/2017	5.97	1877493	5.89	6.12	5.85
11/22/2017	5.82	1464506	5.78	5.89	5.64
11/21/2017	5.77	1810034	5.77	5.785	5.615
11/20/2017	5.7	3755270	6.11	6.14	5.62
11/17/2017	6.15	3176300	6.14	6.15	5.885
11/16/2017	6.15	2108444	5.86	6.18	5.8595
11/15/2017	5.82	3754034	6.19	6.22	5.625
11/14/2017	6.25	2808229	6.07	6.3	5.985
11/13/2017	6.09	2472500	6.11	6.3	6.01
11/10/2017	6.18	4172503	5.78	6.33	5.78
11/9/2017	5.83	2739933	5.57	5.91	5.475
11/8/2017	5.59	1715869	5.58	5.66	5.4301
11/7/2017	5.54	3201225	5.59	5.77	5.5
11/6/2017	5.54	2843759	5.54	5.95	5.475
11/3/2017	5.63	7094609	4.81	5.67	4.8
11/2/2017	5.31	2820756	5.11	5.44	5.01
11/1/2017	5.07	5523667	5.82	5.86	4.92
10/31/2017	5.8	2919775	5.78	5.9699	5.69
10/30/2017	5.77	3587237	5.67	5.84	5.57
10/27/2017	5.69	3441982	5.22	5.7	5.21
10/26/2017	5.19	2882468	5.33	5.44	5.125
10/25/2017	5.39	3472524	5.48	5.648	5.065
10/24/2017	5.47	4577782	5.51	5.68	5.27
10/23/2017	5.49	3422566	5.87	6.01	5.47
10/20/2017	5.86	3259244	6.19	6.21	5.84
10/19/2017	6.17	2911707	6.35	6.47	6.08
10/18/2017	6.42	3517602	6.28	6.675	6.26
10/17/2017	6.19	2198160	6.11	6.24	5.93
