date	close	volume	open	high	low
16:00	12.35	"3,628,515"	12.58	13.03	12.26
12/11/2017	12.35	3628515	12.58	13.03	12.26
12/8/2017	12.44	5175767	11.86	12.73	11.361
12/7/2017	11.86	8577719	10.26	12.11	10.26
12/6/2017	10.21	13734580	9.01	11.85	8.8
12/5/2017	9.035	4021601	9.31	9.38	8.68
12/4/2017	9	5859229	10.5	10.72	8.85
12/1/2017	10.48	3312369	10.69	10.73	9.7578
11/30/2017	10.86	2340476	10.55	10.87	10.55
11/29/2017	10.54	2022736	10.93	11.09	10.465
11/28/2017	10.98	1586197	11.11	11.2484	10.745
11/27/2017	11.1	1856798	11.14	11.54	11.04
11/24/2017	11.15	912298	11.03	11.29	11.02
11/22/2017	11.02	1548199	11.25	11.51	10.93
11/21/2017	11.39	2459704	11.5	11.72	11.15
11/20/2017	11.58	2492954	11.75	12.07	11.41
11/17/2017	11.75	2294587	12	12.0599	11.53
11/16/2017	12	4430441	11.7	12.18	11.44
11/15/2017	11.1	3468357	10.4	11.37	10.31
11/14/2017	10.54	7607722	10.22	10.98	10.15
11/13/2017	10	9136226	12.42	12.65	9.96
11/10/2017	12.4	8080831	11.5	12.83	11.41
11/9/2017	10.44	2739125	9.92	10.595	9.7225
11/8/2017	10.13	2196375	10.5	10.5101	9.9
11/7/2017	10.58	1977484	10.62	10.94	10.46
11/6/2017	10.58	1749634	11.22	11.345	10.47
11/3/2017	11.2	1733219	11	11.33	10.835
11/2/2017	10.96	2794645	10.29	11.36	10.08
11/1/2017	10.26	3008559	10.76	10.8632	9.88
10/31/2017	10.72	2134190	11.34	11.41	10.58
10/30/2017	11.3	2258244	11.67	12.09	11.02
10/27/2017	11.69	2285973	11	11.8401	10.97
10/26/2017	11.01	1958993	11.07	11.48	10.85
10/25/2017	11.24	2102566	10.98	11.3	10.72
10/24/2017	10.94	2378465	10.67	11.17	10.36
10/23/2017	10.75	1588086	11	11.1299	10.73
10/20/2017	11	2178317	10.83	11.06	10.27
10/19/2017	10.79	1999806	10.76	10.8	10.22
10/18/2017	10.88	2496628	11.29	11.4765	10.7
10/17/2017	11.17	3028968	11.16	11.34	10.54
10/16/2017	11.18	1863601	11.75	12.13	11.09
10/13/2017	11.72	1733818	11.81	12	11.46
10/12/2017	11.59	1723630	11.75	11.83	11.57
10/11/2017	11.77	2243284	12.04	12.28	11.7025
10/10/2017	12.06	1731374	12.43	12.54	11.92
10/9/2017	12.41	2545762	11.7	12.635	11.666
10/6/2017	11.66	2497825	12.4	12.49	11.585
10/5/2017	12.38	3716245	13.58	13.74	11.71
10/4/2017	13.53	1815308	13.43	13.71	13.25
10/3/2017	13.4	3218737	13.72	13.86	13.26
10/2/2017	13.71	3761824	14.05	14.475	13.54
9/29/2017	13.98	3496109	13.72	14.19	13.65
9/28/2017	13.72	3246234	12.85	13.74	12.65
9/27/2017	12.78	3192674	12.39	12.935	12.24
9/26/2017	12.39	2840809	12.57	12.61	12.03
9/25/2017	12.6	4057823	11.42	12.85	11.31
9/22/2017	11.47	1852703	11.3	11.49	11.25
9/21/2017	11.45	2120290	11.35	11.599	11.24
9/20/2017	11.44	3950070	11.54	11.73	10.9
9/19/2017	11.64	2743326	11.41	11.74	11.195
9/18/2017	11.26	2050244	11.21	11.36	11.07
9/15/2017	11.29	5415383	11.56	11.75	10.85
9/14/2017	11.85	1359339	12.13	12.18	11.795
9/13/2017	12.09	1882844	11.58	12.11	11.46
9/12/2017	11.64	2489542	12.49	12.52	11.44
9/11/2017	12.41	2173164	12	12.49	12
9/8/2017	11.8	1105501	11.87	12.03	11.61
9/7/2017	11.91	1487318	11.81	12	11.64
9/6/2017	11.79	2915562	12.16	12.425	11.735
9/5/2017	12.13	3306956	12.49	12.565	11.76
9/1/2017	12.59	4265881	12.9	12.96	12.22
8/31/2017	12.64	3949238	11.95	12.66	11.8948
8/30/2017	11.79	3642625	11.73	11.97	11.465
8/29/2017	11.52	5925464	11.68	12.11	11.43
8/28/2017	11.84	6624189	10.5	11.91	10.35
8/25/2017	10.38	5088650	10.76	10.99	10.1198
8/24/2017	10.68	7800601	9.75	10.68	9.75
8/23/2017	9.72	4650431	9.15	9.81	9.13
8/22/2017	9.47	5292816	9.08	9.67	9.07
