date	close	volume	open	high	low
16:00	4.5	"855,838"	4.5	4.62	4.485
12/11/2017	4.5	855838	4.5	4.62	4.485
12/8/2017	4.5	1093299	4.42	4.55	4.375
12/7/2017	4.38	1169039	4.38	4.465	4.28
12/6/2017	4.38	717085	4.4	4.43	4.335
12/5/2017	4.38	898832	4.48	4.5	4.3345
12/4/2017	4.49	1044424	4.61	4.6893	4.48
12/1/2017	4.58	1055721	4.6	4.6833	4.3799
11/30/2017	4.59	970106	4.49	4.61	4.44
11/29/2017	4.49	1129186	4.7	4.8	4.46
11/28/2017	4.63	1348499	4.52	4.66	4.42
11/27/2017	4.52	2000639	4.61	4.97	4.5
11/24/2017	4.59	272092	4.58	4.63	4.55
11/22/2017	4.59	788455	4.65	4.71	4.57
11/21/2017	4.64	1074637	4.62	4.74	4.58
11/20/2017	4.56	1062652	4.74	4.76	4.5
11/17/2017	4.72	923360	4.62	4.79	4.62
11/16/2017	4.64	1045082	4.54	4.6963	4.5099
11/15/2017	4.48	1133506	4.28	4.55	4.27
11/14/2017	4.31	1678832	4.55	4.555	4.2
11/13/2017	4.55	1198917	4.77	4.87	4.54
11/10/2017	4.74	1969340	4.53	4.77	4.45
11/9/2017	4.43	3799417	5	5.1	4.4
11/8/2017	5.33	986135	5.37	5.4063	5.22
11/7/2017	5.31	1405926	5.64	5.66	5.3
11/6/2017	5.66	637762	5.76	5.8	5.66
11/3/2017	5.77	1072171	5.74	5.81	5.68
11/2/2017	5.75	591175	5.71	5.77	5.64
11/1/2017	5.7	736085	5.85	5.879	5.67
10/31/2017	5.83	698357	5.85	5.92	5.78
10/30/2017	5.82	642455	5.78	5.87	5.72
10/27/2017	5.83	1005952	5.65	5.86	5.6299
10/26/2017	5.62	723919	5.66	5.685	5.545
10/25/2017	5.68	1148078	5.79	5.8799	5.63
10/24/2017	5.79	1671775	5.98	6.04	5.7825
10/23/2017	5.92	1628410	6.19	6.24	5.915
10/20/2017	6.23	869299	6.26	6.35	6.18
10/19/2017	6.25	938713	6.34	6.36	6.22
10/18/2017	6.32	1523730	6.36	6.427	6.25
10/17/2017	6.24	507784	6.18	6.27	6.15
10/16/2017	6.21	895182	6.31	6.36	6.16
10/13/2017	6.24	818248	6.37	6.39	6.17
10/12/2017	6.33	1813209	6.31	6.5	6.282
10/11/2017	6.29	1212348	6.43	6.449	6.25
10/10/2017	6.44	729324	6.51	6.52	6.38
10/9/2017	6.51	851330	6.58	6.61	6.4799
10/6/2017	6.65	965485	6.72	6.75	6.52
10/5/2017	6.68	3606902	6.93	7	6.46
10/4/2017	6.48	761411	6.51	6.51	6.38
10/3/2017	6.51	978298	6.58	6.6	6.39
10/2/2017	6.58	1218737	6.35	6.58	6.33
9/29/2017	6.34	802126	6.34	6.39	6.27
9/28/2017	6.31	1011784	6.39	6.44	6.3
9/27/2017	6.37	1123516	6.31	6.4	6.17
9/26/2017	6.31	763147	6.27	6.32	6.11
9/25/2017	6.29	1026320	6.24	6.34	6.17
9/22/2017	6.15	976048	6.29	6.29	6.07
9/21/2017	6.29	2130910	6.12	6.45	6.08
9/20/2017	6.05	670919	6.05	6.09	5.92
9/19/2017	6.07	737290	6.03	6.07	5.97
9/18/2017	6	1163507	5.97	6.09	5.92
9/15/2017	5.97	4351989	5.92	5.99	5.88
9/14/2017	5.92	943650	5.92	5.97	5.86
9/13/2017	5.92	929686	5.99	6.06	5.89
9/12/2017	6	1910652	6.03	6.125	5.91
9/11/2017	6.03	2227338	6.23	6.65	6.01
9/8/2017	6.05	929628	6.09	6.135	6.01
9/7/2017	6.08	1197282	5.96	6.15	5.86
9/6/2017	5.99	1777867	6.04	6.18	5.89
9/5/2017	5.81	933139	5.94	6	5.715
9/1/2017	5.94	954787	5.96	6.03	5.83
8/31/2017	5.94	843806	5.9	5.99	5.8316
8/30/2017	5.86	1204308	5.95	6.05	5.85
8/29/2017	5.95	1375742	5.69	5.99	5.64
8/28/2017	5.73	578296	5.67	5.75	5.665
8/25/2017	5.61	892122	5.79	5.79	5.6
8/24/2017	5.79	2061911	5.64	5.81	5.56
8/23/2017	5.55	737738	5.56	5.64	5.495
8/22/2017	5.56	809313	5.47	5.59	5.455
8/21/2017	5.46	619718	5.45	5.495	5.36
8/18/2017	5.45	838782	5.3	5.56	5.28
8/17/2017	5.36	851228	5.51	5.6153	5.355
8/16/2017	5.52	1024968	5.64	5.7537	5.51
8/15/2017	5.64	575836	5.64	5.71	5.605
8/14/2017	5.64	799428	5.57	5.72	5.57
8/11/2017	5.56	1077056	5.49	5.65	5.4401
8/10/2017	5.49	1363166	5.61	5.65	5.38
8/9/2017	5.63	1429613	5.64	5.8	5.42
8/8/2017	5.43	1355380	5.64	5.7	5.42
8/7/2017	5.64	945306	5.64	5.72	5.63
8/4/2017	5.63	853527	5.53	5.65	5.46
8/3/2017	5.48	1343342	5.37	5.575	5.32
8/2/2017	5.39	1075258	5.57	5.67	5.36
8/1/2017	5.56	2865635	5.56	5.62	5.34
7/31/2017	5.56	1098089	5.54	5.689	5.51
7/28/2017	5.52	2197949	5.53	5.74	5.5
7/27/2017	5.51	3242465	6	6.01	5.5
7/26/2017	5.94	1749454	5.96	6.04	5.9
7/25/2017	5.97	1567520	6	6.03	5.9
7/24/2017	5.96	2637357	6.02	6.025	5.845
7/21/2017	6.01	4492899	6.04	6.13	5.98
7/20/2017	6.01	15768450	6.27	6.28	6
7/19/2017	6.78	5532217	7.41	7.5399	6.77
7/18/2017	7.83	697413	7.76	7.87	7.685
7/17/2017	7.77	593640	7.95	8.015	7.76
7/14/2017	7.96	590130	7.99	8.1	7.9099
7/13/2017	7.96	534100	7.85	8.05	7.6928
7/12/2017	7.86	426706	7.86	7.92	7.77
7/11/2017	7.8	486769	7.73	7.87	7.72
7/10/2017	7.72	511581	7.84	7.87	7.69
7/7/2017	7.88	461585	7.83	7.9363	7.76
7/6/2017	7.77	1036122	8.12	8.21	7.74
7/5/2017	8.06	473726	8	8.15	8
7/3/2017	8.03	309927	7.86	8.07	7.8571
6/30/2017	7.84	539304	7.95	8.0299	7.83
6/29/2017	7.92	1062007	8.17	8.215	7.83
6/28/2017	8.23	734954	8.2	8.41	8.03
6/27/2017	8.12	1333141	8.44	8.44	8.11
6/26/2017	8.38	1322098	8.25	8.43	8.16
6/23/2017	8.2	1338487	8.08	8.24	7.99
6/22/2017	8.08	1205288	8.12	8.39	8.01
6/21/2017	8.06	805452	7.99	8.17	7.94
6/20/2017	7.97	759100	7.91	8.15	7.905
6/19/2017	7.99	819675	7.84	8.05	7.8
6/16/2017	7.84	2074111	7.72	7.92	7.72
6/15/2017	7.76	906136	8.02	8.02	7.7
6/14/2017	8	1055374	8.2	8.27	7.95
6/13/2017	8.2	877817	8.2	8.3	8.11
6/12/2017	8.18	1335167	8.17	8.19	7.88
6/9/2017	8.1	4688841	8.6	8.64	7.95
6/8/2017	8.19	4856426	7.5	8.33	7.4725
6/7/2017	7.39	1456187	7.65	7.7	7.26
6/6/2017	7.48	565800	7.46	7.54	7.4
6/5/2017	7.47	992847	7.76	7.76	7.45
6/2/2017	7.74	1307787	7.68	7.78	7.4601
6/1/2017	7.64	1532992	7.5	7.72	7.3336
5/31/2017	7.55	1738594	7.59	7.82	7.53
5/30/2017	7.57	1524098	7.86	7.88	7.54
5/26/2017	7.88	1631505	7.95	8.2066	7.84
5/25/2017	7.99	5693056	8.65	8.73	7.76
